iter	Passed	Remaining
0	160	160669
1	183	91661
2	214	71166
3	217	54162
4	223	44523
5	233	38609
6	239	33917
7	261	32375
8	292	32184
9	321	31852
10	325	29297
11	329	27120
12	339	25803
13	342	24111
14	346	22783
15	350	21547
16	353	20414
17	354	19363
18	357	18452
19	365	17899
20	370	17294
21	381	16981
22	400	17032
23	413	16829
24	416	16242
25	418	15684
26	432	15578
27	437	15187
28	443	14862
29	448	14509
30	466	14588
31	502	15190
32	506	14835
33	515	14645
34	520	14341
35	585	15671
36	589	15335
37	593	15034
38	606	14955
39	611	14681
40	615	14407
41	626	14293
42	630	14027
43	654	14226
44	664	14101
45	682	14153
46	685	13893
47	689	13669
48	713	13844
49	716	13619
50	720	13415
51	726	13239
52	743	13275
53	752	13189
54	755	12984
55	765	12899
56	768	12718
57	771	12537
58	775	12361
59	788	12354
60	794	12236
61	798	12073
62	800	11907
63	803	11753
64	816	11744
65	822	11633
66	825	11491
67	828	11355
68	831	11220
69	833	11077
70	836	10950
71	847	10923
72	851	10809
73	852	10672
74	854	10535
75	859	10445
76	864	10363
77	883	10447
78	887	10350
79	891	10257
80	895	10159
81	902	10108
82	903	9984
83	906	9883
84	909	9792
85	914	9722
86	918	9638
87	921	9547
88	924	9467
89	933	9442
90	940	9395
91	944	9318
92	945	9225
93	947	9132
94	948	9040
95	951	8956
96	952	8869
97	955	8796
98	957	8714
99	968	8716
100	969	8633
101	971	8555
102	979	8528
103	1002	8635
104	1004	8560
105	1006	8487
106	1008	8419
107	1013	8370
108	1017	8313
109	1020	8255
110	1024	8205
111	1025	8134
112	1027	8065
113	1028	7996
114	1030	7931
115	1032	7869
116	1034	7804
117	1038	7760
118	1040	7702
119	1042	7648
120	1058	7691
121	1061	7641
122	1067	7612
123	1069	7555
124	1071	7497
125	1072	7438
126	1073	7380
127	1075	7324
128	1089	7353
129	1096	7340
130	1103	7318
131	1104	7265
132	1109	7232
133	1124	7264
134	1138	7295
135	1140	7247
136	1156	7285
137	1162	7261
138	1166	7227
139	1170	7187
140	1181	7196
141	1183	7152
142	1185	7105
143	1189	7068
144	1191	7024
145	1192	6977
146	1194	6930
147	1196	6887
148	1198	6844
149	1199	6798
150	1201	6753
151	1202	6709
152	1211	6704
153	1218	6693
154	1224	6677
155	1228	6644
156	1233	6623
157	1240	6612
158	1243	6574
159	1245	6536
160	1246	6494
161	1247	6455
162	1249	6416
163	1253	6390
164	1258	6369
165	1262	6340
166	1264	6308
167	1270	6291
168	1272	6258
169	1277	6237
170	1279	6202
171	1280	6165
172	1283	6133
173	1284	6096
174	1286	6063
175	1287	6029
176	1298	6039
177	1301	6011
178	1303	5980
179	1305	5947
180	1309	5923
181	1311	5896
182	1316	5876
183	1319	5851
184	1323	5830
185	1326	5804
186	1328	5776
187	1330	5748
188	1333	5720
189	1338	5707
190	1342	5687
191	1346	5664
192	1348	5638
193	1356	5636
194	1367	5646
195	1370	5621
196	1375	5605
197	1390	5634
198	1396	5620
199	1400	5600
200	1402	5573
201	1404	5548
202	1407	5526
203	1427	5570
204	1435	5567
205	1452	5599
206	1456	5580
207	1462	5570
208	1467	5554
209	1480	5568
210	1483	5548
211	1487	5530
212	1491	5510
213	1502	5519
214	1506	5501
215	1513	5492
216	1515	5466
217	1519	5451
218	1521	5427
219	1523	5402
220	1527	5382
221	1529	5360
222	1540	5368
223	1548	5364
224	1552	5346
225	1555	5327
226	1560	5312
227	1567	5306
228	1572	5293
229	1574	5271
230	1584	5275
231	1587	5256
232	1590	5234
233	1598	5231
234	1602	5217
235	1615	5228
236	1617	5206
237	1619	5183
238	1639	5221
239	1642	5201
240	1645	5183
241	1680	5265
242	1692	5274
243	1696	5255
244	1705	5254
245	1707	5232
246	1709	5211
247	1712	5192
248	1718	5184
249	1728	5184
250	1731	5165
251	1732	5143
252	1734	5122
253	1737	5103
254	1740	5086
255	1753	5095
256	1761	5093
257	1768	5084
258	1774	5077
259	1779	5063
260	1782	5045
261	1784	5027
262	1787	5008
263	1789	4988
264	1791	4967
265	1797	4960
266	1799	4939
267	1800	4918
268	1802	4898
269	1804	4878
270	1806	4859
271	1811	4847
272	1814	4831
273	1816	4814
274	1819	4797
275	1825	4787
276	1828	4772
277	1830	4752
278	1831	4732
279	1832	4712
280	1834	4693
281	1837	4678
282	1839	4661
283	1842	4644
284	1843	4625
285	1846	4609
286	1848	4593
287	1852	4580
288	1854	4562
289	1856	4545
290	1858	4528
291	1860	4511
292	1862	4493
293	1863	4475
294	1866	4461
295	1870	4447
296	1872	4431
297	1873	4414
298	1875	4397
299	1878	4382
300	1880	4366
301	1882	4351
302	1885	4336
303	1887	4320
304	1890	4307
305	1892	4291
306	1897	4283
307	1905	4280
308	1907	4265
309	1909	4249
310	1914	4242
311	1917	4227
312	1919	4212
313	1921	4196
314	1922	4180
315	1924	4164
316	1926	4150
317	1928	4135
318	1930	4121
319	1932	4106
320	1934	4091
321	1935	4075
322	1937	4060
323	1938	4045
324	1940	4030
325	1945	4022
326	1947	4008
327	1949	3993
328	1950	3978
329	1952	3963
330	1953	3948
331	1955	3934
332	1958	3922
333	1960	3908
334	1961	3893
335	1963	3879
336	1965	3866
337	1967	3852
338	1968	3838
339	1970	3824
340	1974	3816
341	1976	3802
342	1978	3789
343	1979	3775
344	1981	3761
345	1983	3749
346	1994	3752
347	2006	3758
348	2008	3745
349	2010	3734
350	2013	3723
351	2028	3734
352	2032	3725
353	2070	3778
354	2085	3789
355	2090	3781
356	2094	3771
357	2097	3761
358	2101	3752
359	2109	3749
360	2111	3737
361	2113	3725
362	2115	3712
363	2121	3706
364	2128	3702
365	2131	3692
366	2152	3712
367	2155	3702
368	2160	3693
369	2162	3682
370	2175	3688
371	2177	3676
372	2183	3670
373	2186	3659
374	2191	3651
375	2192	3639
376	2195	3627
377	2204	3627
378	2206	3615
379	2208	3602
380	2210	3590
381	2217	3587
382	2220	3576
383	2222	3565
384	2224	3553
385	2232	3551
386	2235	3540
387	2238	3530
388	2240	3519
389	2244	3510
390	2247	3500
391	2249	3488
392	2251	3477
393	2253	3465
394	2255	3454
395	2266	3456
396	2268	3445
397	2270	3434
398	2272	3423
399	2275	3412
400	2276	3400
401	2277	3388
402	2280	3377
403	2281	3366
404	2283	3354
405	2284	3342
406	2286	3331
407	2297	3334
408	2299	3323
409	2304	3315
410	2307	3307
411	2372	3386
412	2377	3379
413	2400	3397
414	2405	3390
415	2410	3384
416	2429	3396
417	2433	3388
418	2435	3377
419	2453	3387
420	2461	3385
421	2463	3374
422	2465	3363
423	2476	3364
424	2478	3353
425	2481	3343
426	2491	3343
427	2494	3333
428	2499	3327
429	2501	3316
430	2505	3307
431	2508	3298
432	2512	3289
433	2523	3291
434	2525	3280
435	2543	3289
436	2554	3291
437	2557	3281
438	2564	3277
439	2570	3271
440	2572	3261
441	2588	3268
442	2591	3257
443	2593	3247
444	2595	3237
445	2599	3228
446	2604	3221
447	2611	3217
448	2616	3210
449	2619	3201
450	2626	3197
451	2628	3186
452	2630	3176
453	2633	3166
454	2649	3173
455	2657	3170
456	2659	3160
457	2662	3150
458	2664	3140
459	2669	3134
460	2674	3127
461	2677	3117
462	2690	3120
463	2697	3115
464	2702	3109
465	2706	3101
466	2725	3110
467	2727	3100
468	2729	3089
469	2736	3085
470	2739	3076
471	2742	3067
472	2761	3076
473	2768	3071
474	2771	3062
475	2773	3053
476	2776	3044
477	2781	3037
478	2798	3043
479	2808	3042
480	2829	3052
481	2856	3070
482	2869	3071
483	2877	3067
484	2882	3060
485	2887	3053
486	2891	3045
487	2907	3050
488	2913	3044
489	2917	3036
490	2920	3027
491	2941	3036
492	2945	3029
493	2949	3021
494	2954	3014
495	2973	3021
496	3006	3042
497	3010	3034
498	3049	3061
499	3062	3062
500	3082	3069
501	3087	3062
502	3092	3056
503	3197	3147
504	3200	3137
505	3207	3131
506	3247	3157
507	3248	3146
508	3254	3139
509	3256	3128
510	3258	3118
511	3260	3107
512	3264	3099
513	3314	3133
514	3326	3132
515	3328	3121
516	3329	3110
517	3332	3101
518	3334	3090
519	3336	3079
520	3338	3068
521	3340	3058
522	3348	3054
523	3351	3044
524	3360	3040
525	3363	3030
526	3367	3022
527	3368	3011
528	3369	3000
529	3371	2989
530	3372	2978
531	3374	2968
532	3375	2957
533	3378	2948
534	3386	2943
535	3392	2936
536	3403	2934
537	3424	2940
538	3428	2932
539	3431	2922
540	3434	2913
541	3439	2906
542	3447	2901
543	3450	2892
544	3456	2885
545	3459	2876
546	3512	2908
547	3526	2908
548	3532	2902
549	3535	2892
550	3539	2884
551	3543	2876
552	3550	2870
553	3556	2863
554	3564	2857
555	3569	2850
556	3575	2843
557	3584	2839
558	3594	2835
559	3595	2825
560	3599	2816
561	3604	2809
562	3608	2800
563	3610	2791
564	3613	2781
565	3640	2791
566	3655	2791
567	3658	2782
568	3660	2772
569	3662	2762
570	3663	2752
571	3667	2744
572	3670	2735
573	3672	2725
574	3674	2716
575	3677	2707
576	3686	2702
577	3690	2694
578	3693	2685
579	3694	2675
580	3699	2667
581	3705	2661
582	3709	2653
583	3724	2653
584	3726	2643
585	3729	2634
586	3732	2625
587	3733	2616
588	3735	2606
589	3736	2596
590	3738	2587
591	3740	2577
592	3758	2579
593	3762	2571
594	3764	2562
595	3788	2568
596	3796	2563
597	3798	2553
598	3801	2545
599	3811	2541
600	3833	2545
601	3861	2553
602	3869	2547
603	3878	2542
604	3883	2535
605	3886	2526
606	3890	2518
607	3892	2509
608	3897	2502
609	3899	2493
610	3914	2492
611	3916	2482
612	3920	2474
613	3921	2465
614	3923	2456
615	3924	2446
616	3926	2437
617	3927	2427
618	3931	2419
619	3946	2418
620	3949	2410
621	3952	2401
622	3953	2392
623	3956	2383
624	3958	2375
625	3972	2373
626	3979	2367
627	3983	2359
628	3985	2350
629	3987	2341
630	3990	2333
631	3993	2325
632	4003	2321
633	4006	2312
634	4009	2304
635	4012	2296
636	4013	2287
637	4016	2278
638	4018	2270
639	4020	2261
640	4033	2259
641	4037	2251
642	4040	2243
643	4044	2235
644	4048	2228
645	4050	2219
646	4055	2212
647	4058	2204
648	4059	2195
649	4061	2186
650	4062	2177
651	4063	2168
652	4065	2160
653	4066	2151
654	4071	2144
655	4077	2137
656	4078	2129
657	4080	2120
658	4081	2112
